composer1,composer2,linking_id
3862,222479,126209
3862,2761872,126209
1685253,2503770,126209
2258400,2503770,126209
2503770,3827921,126209
222479,2503770,126209
2503770,2761872,126209
1685253,2258400,126209
1685253,3827921,126209
222479,1685253,126209
1685253,2761872,126209
2258400,3827921,126209
222479,2258400,126209
2258400,2761872,126209
222479,3827921,126209
2761872,3827921,126209
222479,2761872,126209
937927,1901937,66310
1408706,1901937,66310
1901937,1901938,66310
1408705,1901937,66310
937927,1408706,66310
937927,1901938,66310
937927,1408705,66310
1408706,1901938,66310
1408705,1408706,66310
1408705,1901938,66310
37922,1608821,66312
48872,1608821,66312
37922,48872,66312
2971779,4313635,153450
1782246,2971779,153450
1782246,4313635,153450
2267458,2267467,75209
1314469,2735089,126164
81207,1428000,75223
189406,3034943,720
1001837,1497319,75219
138175,2471636,730
14749,1392164,739
14749,1634374,739
14749,1403228,739
14749,1637511,739
14749,1637508,739
1392164,1634374,739
1392164,1403228,739
1392164,1637511,739
1392164,1637508,739
1403228,1634374,739
1634374,1637511,739
1634374,1637508,739
1403228,1637511,739
1403228,1637508,739
1637508,1637511,739
1593653,3198432,75260
86878,3198432,75260
86878,1593653,75260
3519200,4455211,5985
45962,1580782,30289
1595349,2762622,219673
2230172,2762622,219673
1595349,2230172,219673
1757819,2327039,75262
2327039,2957950,75262
1115046,2327039,75262
1190592,2327039,75262
2327039,2957935,75262
58056,2327039,75262
1183647,2327039,75262
1374902,2327039,75262
2327039,2957937,75262
1484588,2327039,75262
1261697,2327039,75262
1191567,2327039,75262
1757819,2957950,75262
1115046,1757819,75262
1190592,1757819,75262
1757819,2957935,75262
58056,1757819,75262
1183647,1757819,75262
1374902,1757819,75262
1757819,2957937,75262
1484588,1757819,75262
1261697,1757819,75262
1191567,1757819,75262
1115046,2957950,75262
1190592,2957950,75262
2957935,2957950,75262
58056,2957950,75262
1183647,2957950,75262
1374902,2957950,75262
2957937,2957950,75262
1484588,2957950,75262
1261697,2957950,75262
1191567,2957950,75262
1115046,1190592,75262
1115046,2957935,75262
58056,1115046,75262
1115046,1183647,75262
1115046,1374902,75262
1115046,2957937,75262
1115046,1484588,75262
1115046,1261697,75262
1115046,1191567,75262
1190592,2957935,75262
58056,1190592,75262
1183647,1190592,75262
1190592,1374902,75262
1190592,2957937,75262
1190592,1484588,75262
1190592,1261697,75262
1190592,1191567,75262
58056,2957935,75262
1183647,2957935,75262
1374902,2957935,75262
2957935,2957937,75262
1484588,2957935,75262
1261697,2957935,75262
1191567,2957935,75262
58056,1183647,75262
58056,1374902,75262
58056,2957937,75262
58056,1484588,75262
58056,1261697,75262
58056,1191567,75262
1183647,1374902,75262
1183647,2957937,75262
1183647,1484588,75262
1183647,1261697,75262
1183647,1191567,75262
1374902,2957937,75262
1374902,1484588,75262
1261697,1374902,75262
1191567,1374902,75262
1484588,2957937,75262
1261697,2957937,75262
1191567,2957937,75262
1261697,1484588,75262
1191567,1484588,75262
1191567,1261697,75262
2864710,4089321,69828
1107266,4089321,69828
4089321,4104278,69828
2954755,4089321,69828
4089321,4104280,69828
4089321,4104281,69828
1612968,4089321,69828
959123,4089321,69828
