director_id,director_name,popularity
59466,Jamie Babbit,9.967
56591,Danny Leiner,5.753
30477,Peter Werner,7.966
168442,Peter Lauer,5.204
149501,Michael Lange,4.404
93016,Scott Heming,3.784
87565,Savage Steve Holland,4.428
4237669,Bruno Carvalho-Manzon,0.004
990865,Hansal Mehta,7.879
1549701,Jai Mehta,1.316
7399,Ben Stiller,39.26
58316,John Fortenberry,5.874
58868,Troy Miller,10.494
3100418,Zhang Xiaohu,0.02
3100414,Wang Shichuang,0.032
3100416,Duan Guoping,0.011
1300044,Nancy Abdel-Fattah,0.461
230718,Sameh Abdel Aziz,4.817
45642,Fred Gerber,9.153
130533,Guy Norman Bee,3.293
45645,Deran Sarafian,17.464
43954,David Grossman,7.455
102638,Terrence O'Hara,5.469
1212412,Larry Shaw,11.911
124783,Perry Lang,9.792
29924,John Shiban,9.393
2809072,Allen Lan,0.71
2564836,Wang Fei,2.155
3175589,Oh Chae jin,0.021
1728833,Luca Ribuoli,1.312
2290882,Jean-François Fontaine,1.03
123919,Guy A. Lepage,4.244
2617304,Chad Vidanes,2.913
1212734,Gareth Gwenlan,8.918
67616,John Howard Davies,4.546
3017187,Mikhail Veriysky,0.591
1578037,Vsevolod Kaptur,3.738
1974282,Kirill Papakul,2.314
2368008,Aleksandr Igudin,1.304
104089,Alberto Negrin,4.12
31037,Adirek Watleela,2.248
2223,Fred Savage,32.227
1212689,Ken Whittingham,7.577
50346,Shiri Appleby,19.879
228834,Numa Perrier,7.491
57115,Victor Nelli Jr.,3.65
1516273,Nefertite Nguvu,4.159
1302245,Katie Locke O'Brien,2.581
587815,Lisa C. Satriano,2.296
2545239,Stacey Muhammad,4.124
1687877,Molly McGlynn,5.761
4510835,David Robert Jones,0.674
1366449,Saladin K. Patterson,4.837
2121241,Melissa Kosar,2.585
38674,Aisha Tyler,22.791
68750,Robert Townsend,12.17
587970,Matthew A. Cherry,2.749
74730,Felix Herngren,15.807
2338438,Park Joon-woo,1.017
34480,Alan Zaslove,8.095
1219700,Steve Clark,3.077
1219701,Terence Harrison,6.45
200011,David Block,4.127
77294,James T. Walker,2.782
1219722,Vincent Davis,2.409
2393763,Olivier Guarguir,0.772
3538269,Nicolas Copin,1.221
2219272,Greg Stees,0.867
3351834,Mark Paterson,2.395
2565469,Lesa Greenfield,0.425
144210,Karen Arthur,13.026
2593738,Wong Chou-kuen,1.544
1556827,Chin Ao-hsun,2.005
45408,Joaquin Sedillo,5.365
2331249,Duane Mieliwocki,3.594
969894,Bradley Buecker,3.774
1178964,Jann Turner,6.178
1216419,Gwyneth Horder-Payton,4.294
14800,Jennifer Lynch,19.569
2794883,Brenna Malloy,2.914
1215026,Marita Grabiak,11.976
1214641,Millicent Shelton,11.675
519569,Kristen Reidel,6.685
74610,Tasha Smith,17.348
1035444,Sarah Boyd,7.041
1492540,Robert M. Williams Jr.,3.778
1919508,Marcus Stokes,8.086
2127571,John J. Gray,1.323
1214715,Juan Carlos Coto,4.229
