composer_id,composer_name,popularity
58438,Brian May,4.323
3148574,Allen Bohbot,2.456
1928502,Arthur Sharpe,1.385
1386777,Yevgeniy Fyodorov,2.512
1670423,Maksim Koshevarov,5.262
135241,Kuniaki Haishima,5.033
229122,Giles Martin,2.22
3695893,Koki Adaniya,2.391
2385014,Asami Tachibana,5.569
4240977,Mamiko Katakura,1.964
3046630,Masaharu Yamanouchi,9.752
80214,Hideyuki Fukasawa,2.208
1897998,Takatsugu Wakabayashi,3.086
2361035,Junnosuke Yamamoto,0.357
2308452,Babar Ali Khanna,0.164
1262484,Strings,0.68
2308451,Gumby,2.037
2308460,Ali Hamza,1.902
1722099,Shuja Haider,2.997
1722096,Jaffer Zaidi,0.122
1722095,Shani Arshad,4.199
2347348,Zohaib Kazi,0.661
557898,Sajjad Ali,3.149
2341284,Junoon,0.205
2308454,Bilal Maqsood,0.665
1722094,Noori,0.526
2308453,Faisal Kapadia,0.848
2308461,Ali Noor,1.333
2311930,Fakhir Mehmood,0.185
4332671,Steve Danforth,1.56
1167544,Seiichirou Uno,1.744
1670926,Alexander Parsons,1.194
1513818,Charles Pollard,0.001
2248354,David Cooke,0.98
1849253,Justin Ridge,4.808
90292,Fahir Atakoğlu,2.73
1431043,Aytekin Ataş,7.008
3846484,Jose Kropp,0.892
567205,Jake Monaco,3.641
1414166,Jon Opstad,3.177
2521742,Filipe Miu Mendonça,0.573
2521747,Bibi Cavalcante,2.799
2521753,Guilherme Rios,0.783
4138239,Iwasaki Kei,0.224
554361,Akira Senju,7.963
1698160,Fumitaka Anzai,3.97
3549398,Altan Irtel,0.277
4131923,Timur Selçuk,0.521
1383698,Timur Selçuk,2.003
123286,Jon Thor Birgisson,3.586
1641477,Stefan Döring,2.18
3476392,Suhail Shawqi,0.648
2336175,Ahsan Ali Taj,0.644
2336180,Hassan Munir,0.55
1498115,Yoshiaki Fujisawa,22.035
2303045,Javier Ortega,0.724
2336011,Bilal Allah Ditta,0.068
7182,Elmer Bernstein,8.199
3757723,Jason La Rocca,0.613
4240729,Eric Huergo,0.237
63146,Jesper Kyd,4.612
2159705,Mito,3.099
2933554,DÉ DÉ MOUSE,0.656
3989667,Gen Okamura,2.969
2812160,Tatsuhiko Saiki,3.168
2762621,Natsumi Tabuchi,2.543
1840650,Christian Schlumpf,1.641
1840649,Michael Duss,0.997
1840665,Martin Skalský,1.589
2576845,Khaled Al Kammar,2.505
3607402,STUTS,2.783
3607511,Jinmenusagi,0.195
3340017,Shinichi Osawa,0.998
3607451,Staxx T,0.001
3607403,DJ CELORY,0.001
3607429,Pxrxdigm.,0.001
3607481,DJ OASIS,2.616
3607445,DJ PMX,0.002
4208966,NOTYPE 9,0.001
2047033,tofubeats,1.044
3607427,ZOT on the WAVE,0.109
3607433,DJ WATARAI,1.38
4270462,OLIVE OIL,0.003
3607486,YamieZimmer,0.932
3607483,Lil' Yukichi,0.427
3557968,Chaki Zulu,0.962
3984580,Xansei,0.816
3747868,hokuto,0.468
2494495,Ren Tsukagoshi,1.548
2494483,Yasunori Nishiki,1.151
